Year,bu_acre,kg_ha
1909,15.5,1042.375
1910,15.3,1028.925
1911,14.4,968.4
1912,14.2,954.95
1913,15.7,1055.825
1914,18.5,1244.125
1915,16.2,1089.45
1916,13.4,901.15
1917,14.5,975.125
1918,15,1008.75
1919,14.8,995.3
1920,15.2,1022.2
1921,14,941.5
1922,13.7,921.325
1923,14.3,961.675
1924,16.2,1089.45
1925,12.5,840.625
1926,16.8,1129.8
1927,14.4,968.4
1928,15.7,1055.825
1929,14.2,954.95
1930,15.4,1035.65
1931,19,1277.75
1932,13.6,914.6
1933,12.5,840.625
1934,12.6,847.35
1935,14,941.5
1936,13.8,928.05
1937,14.6,981.85
1938,13.8,928.05
1939,15,1008.75
1940,16.4,1102.9
1941,16.9,1136.525
1942,19.5,1311.375
1943,15.6,1049.1
1944,18.3,1230.675
1945,17.4,1170.15
1946,18,1210.5
1947,19.3,1297.925
1948,18.7,1257.575
1949,15.8,1062.55
1950,17.1,1149.975
1951,16.2,1089.45
1952,20.9,1405.525
1953,18.9,1271.025
1954,20.4,1371.9
1955,20.9,1405.525
1956,20.8,1398.8
1957,22.5,1513.125
1958,28.6,1923.35
1959,23.2,1560.2
1960,27.8,1869.55
1961,26.4,1775.4
1962,24.4,1640.9
1963,26.3,1768.675
1964,26.8,1802.3
1965,27.1,1822.475
1966,27.4,1842.65
1967,26.5,1782.125
1968,29,1950.25
1969,31.2,2098.2
1970,33.4,2246.15
1971,35.4,2380.65
1972,34,2286.5
1973,33,2219.25
1974,29.4,1977.15
1975,32,2152
1976,31.5,2118.375
1977,31.6,2125.1
1978,31.8,2138.55
1979,36.9,2481.525
1980,36.8,2474.8
1981,35.9,2414.275
1982,36,2421
1983,41.8,2811.05
1984,40,2690
1985,38.1,2562.225
1986,35.2,2367.2
1987,39.8,2676.55
1988,39.2,2636.2
1989,35,2353.75
1990,40.7,2737.075
1991,34.7,2333.575
1992,38.2,2568.95
1993,40.2,2703.45
1994,40.2,2703.45
1995,37.7,2535.325
1996,37.1,2494.975
1997,44.6,2999.35
1998,46.9,3154.025
1999,47.8,3214.55
